PermitType,PermitTypeDesc,PermitNum,PermitClass,WorkClass,Condominium,ProjectName,Description,TCAD_ID,PropertyLegalDescription,AppliedDate,IssuedDate,DayIssued,CalendarYearIssued,FiscalYearIssued,IssuedInLast30Days,IssuanceMethod,StatusCurrent,ExpiresDate,CompletedDate,TotalExistingBldgSQFT,RemodelRepairSQFT,TotalNewAddSQFT,TotalValuationRemodel,TotalJobValuation,NumberOfFloors,HousingUnits,BuildingValuation,BuildingValuationRemodel,ElectricalValuation,ElectricalValuationRemodel,MechanicalValuation,MechanicalValuationRemodel,PlumbingValuation,PlumbingValuationRemodel,MedGasValuation,MedGasValuationRemodel,OriginalAddress1,OriginalCity,OriginalState,OriginalZip,CouncilDistrict,Jurisdiction,Link,ProjectID,Latitude,Longitude,Location
BP,Building Permit,2010-074706 BP,R- 645 Demolition One Family Homes,Demolition,No,4811 S CONGRESS AVE,DEMO HOME THAT HAS BEEN TRADITIONALLY USED AS A SF RES IN A MOBILE HOME PARKCHPO Received statement of traditional use as a singlefamily residence ON 8302010,0414050103,GO GO MH PARK SPACE 2 SN1 1278456S34114 HUD TEX0076320 TITLE  WHITERED TRIM,2010/08/26,2010/09/20,MONDAY,2010,2010,No,Permit Center,Expired,2011/03/19,,0,,,,$5000.00,1,0,,,,,,,,,,,4811 S CONGRESS AVE,AUSTIN,TX,78745,3,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10483815,10483815,30.21223442,-97.76952969,"(30.21223442, -97.76952969)"
BP,Building Permit,2011-009122 BP,C- 649 Demolition All Other Bldgs Com,Demolition,No,3701 N LAMAR BLVD,demo a 2story commercial structure,0218030119,LOT 23 OLT 76 DIV D NORTH END ADDN LESS N PART IN STREET  LOT 3 BLK A MIDTOWN MEDICAL II SUBD,2011/02/02,2011/02/18,FRIDAY,2011,2011,No,Permit Center,Final,2012/01/17,2012/01/17,2700,,,,$100000.00,2,0,,,,,,,,,,,3701 N LAMAR BLVD,AUSTIN,TX,78705,9,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10543789,10543789,30.30443751,-97.74319645,"(30.30443751, -97.74319645)"
BP,Building Permit,2011-028374 BP,R- 645 Demolition One Family Homes,Demolition,No,2604 S 2ND ST,Demolish a circa 1949 1 story 962 square foot single family residence,0404041110,LOT 6 BLK B OAK RIDGE HEIGHTS SEC 1,2011/03/29,2011/04/06,WEDNESDAY,2011,2011,No,Permit Center,Final,2011/04/25,2011/04/25,962,,,,$0.00,1,1,,,,,,,,,,,2604 S 2ND ST,AUSTIN,TX,78704,3,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10569577,10569577,30.23960272,-97.76252814,"(30.23960272, -97.76252814)"
BP,Building Permit,2011-041620 BP,C- 649 Demolition All Other Bldgs Com,Demolition,No,1500 W ANDERSON LN,demo redeemer care house 2350 sqft,0236090603,ABS 217 SUR 15 DAVIS G W ACR 1097,2011/05/11,2011/05/20,FRIDAY,2011,2011,No,Permit Center,Final,2011/06/08,2011/06/08,1850,,,,$8000.00,1,0,,,,,,,,,,,1500 W ANDERSON LN,AUSTIN,TX,78757,7,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10590355,10590355,30.35227714,-97.72028994,"(30.35227714, -97.72028994)"
BP,Building Permit,2011-042977 BP,R- 645 Demolition One Family Homes,Demolition,No,1113 MYRTLE ST,Demolish a single family residence moved onto lot in 1984  1 story 1300 square foot SMART HOUSING 100 Waived for Smart Housing,0208061516,LOT 10 ANDERSON HILL SUBD NO 4 LAND ONLY,2011/04/11,2011/05/18,WEDNESDAY,2011,2011,No,Permit Center,Final,2011/08/29,2011/08/29,1300,,,,$0.00,1,1,,,,,,,,,,,1113 MYRTLE ST,AUSTIN,TX,78702,1,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10593399,10593399,30.26981595,-97.72758215,"(30.26981595, -97.72758215)"
BP,Building Permit,2011-045934 BP,R- 645 Demolition One Family Homes,Demolition,No,2204 BRIDLE PATH,Demolish a circa 1938 15 story 1700 square foot single family residence,0114050618,W 100FT LOT 2 BLK 15 WESTFIELD A,2011/05/17,2011/05/26,THURSDAY,2011,2011,No,Permit Center,Final,2011/06/29,2011/06/29,1700,,,,$6000.00,2,1,,,,,,,,,,,2204 BRIDLE PATH,AUSTIN,TX,78703,10,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10596869,10596869,30.28944848,-97.76645189,"(30.28944848, -97.76645189)"
BP,Building Permit,2011-045935 BP,R- 649 Demolition All Other Bldgs Res,Demolition,No,2204 BRIDLE PATH,Demolish a circa 1938 1 story 560 square foot detached garage,0114050618,W 100FT LOT 2 BLK 15 WESTFIELD A,2011/05/17,2011/05/26,THURSDAY,2011,2011,No,Permit Center,Final,2011/06/14,2011/06/14,560,,,,$700.00,1,0,,,,,,,,,,,2204 BRIDLE PATH,AUSTIN,TX,78703,10,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10596870,10596870,30.28944848,-97.76645189,"(30.28944848, -97.76645189)"
BP,Building Permit,2011-054898 BP,R- 645 Demolition One Family Homes,Demolition,No,2901 OAKHURST AVE,Demolish a circa 1955 1 story 1486 square foot single family residence,0217000301,LOT 4 BELMONT,2011/06/10,2011/06/22,WEDNESDAY,2011,2011,No,Permit Center,VOID,2011/12/19,,1486,,,,$0.00,1,1,,,,,,,,,,,2901 OAKHURST AVE,AUSTIN,TX,78703,10,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10610604,10610604,30.3000061,-97.75052614,"(30.3000061, -97.75052614)"
BP,Building Permit,2011-067738 BP,R- 645 Demolition One Family Homes,Demolition,No,1904 E 13TH ST,Demolish front residence,0209092308,LOT 3 BLK 8 OLT 34 DIVISION B,2011/07/28,2011/08/02,TUESDAY,2011,2011,No,Permit Center,VOID,2012/07/16,,616,,,,$0.00,1,1,,,,,,,,,,,1904 E 13TH ST,AUSTIN,TX,78702,1,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10628929,10628929,30.2751577,-97.71964279,"(30.2751577, -97.71964279)"
BP,Building Permit,2011-080356 BP,R- 645 Demolition One Family Homes,Demolition,No,2606 DEL CURTO RD,Repermitting for expired permit number 2007168263BP  Demo res,0404070153,00952 AC OF LOT A EL RANCHO SUBD NO 2 RESUB OF LOT 3 AMENDED PLAT OF LOTS 23,2011/09/07,2011/09/07,WEDNESDAY,2011,2011,No,Permit Center,Final,2013/12/17,2013/12/17,0,,,,$0.00,1,1,,,,,,,,,,,2606 DEL CURTO RD,AUSTIN,TX,78704,5,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10647704,10647704,30.24377953,-97.77746356,"(30.24377953, -97.77746356)"
BP,Building Permit,2011-080357 BP,R- 649 Demolition All Other Bldgs Res,Demolition,No,2606 DEL CURTO RD,Repermitting for expired permit number 2007168961BP  Demo detached garage,0404070153,00952 AC OF LOT A EL RANCHO SUBD NO 2 RESUB OF LOT 3 AMENDED PLAT OF LOTS 23,2011/09/07,2011/09/07,WEDNESDAY,2011,2011,No,Permit Center,Final,2013/12/17,2013/12/17,0,,,,$0.00,1,0,,,,,,,,,,,2606 DEL CURTO RD,AUSTIN,TX,78704,5,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10647705,10647705,30.24377953,-97.77746356,"(30.24377953, -97.77746356)"
BP,Building Permit,2011-087821 BP,C- 649 Demolition All Other Bldgs Com,Demolition,No,3311 S FM 973 RD,Total demolition of structure only not including slab of a fire damaged building,,ABS 24 DELVALLE S ACR 48858,2011/09/26,2011/10/03,MONDAY,2011,2012,No,Permit Center,Final,2011/10/13,2011/10/13,7500,,,,$16500.00,1,0,,,,,,,,,,,3311 S FM 973 RD,AUSTIN,TX,78617,2,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10657737,10657737,30.2010106,-97.6381549,"(30.2010106, -97.6381549)"
BP,Building Permit,2011-093485 BP,C- 649 Demolition All Other Bldgs Com,Demolition,No,3405 WEST AVE,Total demolition of metal and steel parking structure 1,0218030352,LOT 1019 PLUS 66FT AV OF RESERVE WENDLANDT  MUELLER SUBD  PART OF OLT 76 DIV D,2011/09/19,2011/10/18,TUESDAY,2011,2012,No,Permit Center,Final,2011/11/22,2011/11/22,0,,,,$0.00,2,0,,,,,,,,,,,3405 WEST AVE,AUSTIN,TX,78705,9,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10665364,10665364,30.30193745,-97.7427881,"(30.30193745, -97.7427881)"
BP,Building Permit,2011-103329 BP,C- 649 Demolition All Other Bldgs Com,Demolition,No,3405 WEST AVE,Total demolition of a commercial structure,0218030352,LOT 1019 PLUS 66FT AV OF RESERVE WENDLANDT  MUELLER SUBD  PART OF OLT 76 DIV D,2011/10/14,2011/11/16,WEDNESDAY,2011,2012,No,Permit Center,Final,2011/11/22,2011/11/22,2000,,,,$5000.00,1,0,,,,,,,,,,,3405 WEST AVE,AUSTIN,TX,78705,9,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10679966,10679966,30.30193745,-97.7427881,"(30.30193745, -97.7427881)"
