PermitType,PermitTypeDesc,PermitNum,PermitClass,WorkClass,Condominium,ProjectName,Description,TCAD_ID,PropertyLegalDescription,AppliedDate,IssuedDate,DayIssued,CalendarYearIssued,FiscalYearIssued,IssuedInLast30Days,IssuanceMethod,StatusCurrent,ExpiresDate,CompletedDate,TotalExistingBldgSQFT,RemodelRepairSQFT,TotalNewAddSQFT,TotalValuationRemodel,TotalJobValuation,NumberOfFloors,HousingUnits,BuildingValuation,BuildingValuationRemodel,ElectricalValuation,ElectricalValuationRemodel,MechanicalValuation,MechanicalValuationRemodel,PlumbingValuation,PlumbingValuationRemodel,MedGasValuation,MedGasValuationRemodel,OriginalAddress1,OriginalCity,OriginalState,OriginalZip,CouncilDistrict,Jurisdiction,Link,ProjectID,Latitude,Longitude,Location
BP,Building Permit,2014-136423 BP,R- 435 Renovations/Remodel,Remodel,No,4103 NARROW RIDGE DR,Interior Remodel Partial Demolition  Remove rotting wood reframe and trim second floor deck Reuse existing handrail,0139300113,,2014/11/24,2014/12/31,WEDNESDAY,2014,2015,No,Permit Center,Final,2015/03/20,2015/03/20,,300,,$19300.00,,2,1,,$19300.00,,$0.00,,$0.00,,$0.00,,,4103 NARROW RIDGE DR,AUSTIN,TX,78730,10,AUSTIN LTD,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11269659,11269659,30.36189853,-97.84988948,"(30.36189853, -97.84988948)"
BP,Building Permit,2014-091995 BP,R- 434 Addition & Alterations,Addition,No,11301 MORNING GLORY TRL,partial demo2 story addition16ft  and 1st floor addition 323ft removing and replacing deck expanding window on east side to meet code window on south wall is being expanded 25''   Uncovered Rear deck allowed to encroach into rear 25' BL setback Property is a thru lot See update 1 attached to PR folder and LDC section 2521602,0174210608,,2014/07/09,2014/08/29,FRIDAY,2014,2014,No,Permit Center,Active,2016/07/06,,,,388,,$9950.00,2,1,,,,,,,,,,,11301 MORNING GLORY TRL,AUSTIN,TX,78750,6,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11207553,11207553,30.45046202,-97.81929401,"(30.45046202, -97.81929401)"
BP,Building Permit,2012-012370 BP,R- 434 Addition & Alterations,Addition,No,5801 LONG CT,partial demo of rear decks and wall of existing sfres to accomodate addition of new ground floor living area and covered deck and second floor master suite and covered deck,0139130107,,2012/01/30,2012/02/08,WEDNESDAY,2012,2012,No,Permit Center,Final,2012/09/20,2012/09/20,,,2284,,$500000.00,2,1,,,,,,,,,,,5801 LONG CT,AUSTIN,TX,78730,10,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10716905,10716905,30.35963473,-97.80009216,"(30.35963473, -97.80009216)"
BP,Building Permit,2012-068349 BP,R- 434 Addition & Alterations,Addition,No,1705 DARTMOUTH AVE,Partial demo of existing sf res exterior wall on southeast side to add a new master bathroom,0236091503,,2012/07/09,2012/07/10,TUESDAY,2012,2012,No,Permit Center,Final,2012/08/30,2012/08/30,,,140,,$60000.00,1,1,,,,,,,,,,,1705 DARTMOUTH AVE,AUSTIN,TX,78757,7,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10794109,10794109,30.34921319,-97.72542149,"(30.34921319, -97.72542149)"
BP,Building Permit,2012-094078 BP,R- 434 Addition & Alterations,Addition and Remodel,No,907 OLIVE ST,Relocate existing sf res 5 feet to the east and connect via breezeway to create one single family residence Was two separate duplexes on separate lots Partial demolition of rear of each unit  Remodel front porches of existing buildings to replace framing as needed remodel to reconfigure layout to create 2 bedrooms living room dining room kitchen hallway laundry room utility room and 1 full and one half bathroom New framing sheetrock wallboard and insulation as needed throughout Upgradereplace Electrical plumbing and HVAC as needed throughout New windows and doors as needed,0208061204,LOT 4A JUNIPER AT OLIVE SUBD RSB LT 12  45 BLK A  N 12 LT 2 OLT 55 DIV B LAND ONLY,2012/08/16,2012/09/17,MONDAY,2012,2012,No,Permit Center,Final,2013/10/09,2013/10/09,,,574,$165210.00,$165210.00,1,1,,$142760.00,,$6500.00,,$7200.00,,$8750.00,,,907 OLIVE ST,AUSTIN,TX,78702,1,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10828631,10828631,30.2708009,-97.73057526,"(30.2708009, -97.73057526)"
BP,Building Permit,2014-125209 BP,R- 434 Addition & Alterations,Addition and Remodel,No,9901 BIG VIEW DR,Partial demo to remove existing uncovered wood deck Addition of a 1st FL  attached covered patio in rear of existing 2 story SF res,0143280102,,2014/10/27,2014/11/24,MONDAY,2014,2015,No,Permit Center,Final,2015/01/27,2015/01/27,,,250,$0.00,$21390.00,1,1,,$0.00,,$0.00,,$0.00,,$0.00,,,9901 BIG VIEW DR,AUSTIN,TX,78730,6,AUSTIN LTD,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11252965,11252965,30.3724475,-97.84543095,"(30.3724475, -97.84543095)"
BP,Building Permit,2012-119693 BP,R- 434 Addition & Alterations,Addition and Remodel,No,1164 CURVE ST,Partial demo of existing sf residence for a new single story addition  The following job description is written directly from the revised application word for word 1164 Curve is a vacant structure that was relocated to the existing site in the 1990s  The structure is just a shell with no internal walls  The existing interior walls and roofing will be removed  The structure will then be reconstructed with a proposed addition to the western side tosic the existing footprint  The addition will accomodate the two bedroom1 bath design  The reconstruction has been approved by Historic Review  Per the Historic Review as much original materials as possible are to be used in the reconstruction of the structure  The porch area of the structure does not exist only the roof overhang  The front porch will be added  RESOLUTION 20071129100 WAIVES FEES FOR THIS 100SMART HOUSING PROJECT,0208061220,LOT 13A JUNIPER AT OLIVE SUBD AMENDED PLAT OF LOTS 13  14 BLK A LAND ONLY LAND ONLY,2012/08/14,2012/12/04,TUESDAY,2012,2013,No,Permit Center,Final,2013/10/09,2013/10/09,,,701,$40617.00,$112167.00,1,1,,$18167.00,,$6500.00,,$7200.00,,$8750.00,,,1164 CURVE ST,AUSTIN,TX,78702,1,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10864525,10864525,30.27063448,-97.72996503,"(30.27063448, -97.72996503)"
BP,Building Permit,2010-069692 BP,R- 435 Renovations/Remodel,Remodel,No,4301 WALHILL LN,Partial demo of exterior walls and roof structure to repair for fire damaged home new framing sheetrock wallboard insulation and MEPs as needed interior volume to remain the same foundation to raise approximately 3 feet to level first floor subsequently the roof will increase the same with the new foundation qualifies for exemption under LDC 252964 See conditions,0147030410,,2010/08/12,2010/08/13,FRIDAY,2010,2010,No,Permit Center,Final,2011/03/17,2011/03/17,,4340,,$11500.00,,2,1,,$500.00,,$500.00,,$10000.00,,$500.00,,,4301 WALHILL LN,AUSTIN,TX,78759,10,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10477526,10477526,30.38077015,-97.75614438,"(30.38077015, -97.75614438)"
BP,Building Permit,2014-110385 BP,R- 435 Renovations/Remodel,Remodel,No,7520 CROSSDRAW DR,Interior remodel  Partial Demolition  Remodelupdate all bathrooms new electrical and plumbing fixtures new cabinets and countertops new finishes  New uncovered wood decks 1 in front yard 1 in back yard  Plumbing fixtures at rear deck for outdoor shower  Replace all doors and windows  New tankless water heater  Replace existing HVAC  New skylightssouth porch  Openings to be widened at north wall for new door and at south wall for window,0144080105,,2014/10/01,2014/10/14,TUESDAY,2014,2015,No,Permit Center,Final,2015/05/01,2015/05/01,,1000,,$60000.00,,1,1,,$40000.00,,$5000.00,,$5000.00,,$10000.00,,,7520 CROSSDRAW DR,AUSTIN,TX,78731,10,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=11233276,11233276,30.36894887,-97.77260803,"(30.36894887, -97.77260803)"
BP,Building Permit,2012-110150 BP,R- 435 Renovations/Remodel,Remodel,No,2808 REGENTS PARK,Partial Demo Remodel to Single Family Home  Demo to Front Entry Demo SouthEast Corner Windows Demo to Rear 2nd Floor Wall removing Fire Place Chimney Windows and Doors  Remodel to Front Entry with new Door and Window  Rear 2nd Fl Wall Rebuilt with New Sliding GlassAluminum Panels Remodel to Kitchen removing and replacing Flooring Cabinets countertops and fixtures reconfiguring Window positions in Kitchen  New fur down in Living area New Vanity in 12 Bath New Railings and wall around Stair well Lower Lever Remodel consist of New walls in amily Enrty from Garage to create mud room New wall to create 3rd Bedroom and closet,0105110207,LOT 16 BLK B TREEMONT PHS A SEC I,2012/09/25,2012/10/31,WEDNESDAY,2012,2013,No,Permit Center,Final,2013/08/01,2013/08/01,,2000,,$32300.00,,2,1,,$25000.00,,$6000.00,,$800.00,,$500.00,,,2808 REGENTS PARK,AUSTIN,TX,78746,8,AUSTIN FULL PURPOSE,https://www.austintexas.gov/devreview/b_showpublicpermitfolderdetails.jsp?FolderRSN=10850842,10850842,30.26483797,-97.79513698,"(30.26483797, -97.79513698)"
