PermitNum,PermitClass,WorkClass,Condominium,ProjectName,Description,TCAD_ID,PropertyLegalDescription,AppliedDate,IssuedDate,CalendarYearIssued,StatusCurrent,StatusDate,ExpiresDate,CompletedDate,TotalExistingBldgSQFT,TotalJobValuation,NumberOfFloors,HousingUnits,OriginalAddress1,OriginalZip,CouncilDistrict,Link,ProjectID,MasterPermitNum,Latitude,Longitude,Location,ContractorCompanyName,ContractorPhone
2011-080356 BP,R- 645 Demolition One Family Homes,Demolition,No,2606 DEL CURTO RD,Repermitting for expired permit number 2007168263BP  Demo res,404070165,00952 AC OF LOT A EL RANCHO SUBD NO 2 RESUB OF LOT 3 AMENDED PLAT OF LOTS 23,9/7/2011,9/7/2011,2011,Final,12/17/2013,12/17/2013,12/17/2013,0,0,1,1,2606 DEL CURTO RD,78704,5,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10647704,10647704,10647694,30.24377953,-97.77746356,"(30.24377953, -97.77746356)","Milestone Community Builders, LLC",5.12686E+12
2012-091496 BP,R- 646 Demolition Two Family Bldgs,Demolition,No,3409 BONNIE RD,Demolish a circa 1962 1 story 2268 square foot duplex res and carport,116081302,LOT 2B PERLITZ HOUSTON SUBD,8/31/2012,9/11/2012,2012,Final,7/25/2013,7/25/2013,7/25/2013,"2,268",200,1,2,3409 BONNIE RD,78703,10,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10825527,10825527,10820895,30.29474579,-97.77926426,"(30.29474579, -97.77926426)","Milestone Community Builders, LLC",5.12686E+12
2012-091497 BP,R- 646 Demolition Two Family Bldgs,Demolition,No,3411 BONNIE RD,Demolish a circa 1962 1 story 2268 square foot duplex res,116081301,LOT 1B PERLITZ HOUSTON SUBD,8/31/2012,9/11/2012,2012,Final,7/25/2013,7/25/2013,7/25/2013,"2,268","2,000.00",1,2,3411 BONNIE RD,78703,10,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10825528,10825528,10820888,30.2948176,-97.77941766,"(30.2948176, -97.77941766)","Milestone Community Builders, LLC",5.12686E+12
2013-043886 BP,R- 645 Demolition One Family Homes,Demolition,No,7709 MANCHACA RD,Total demo of existing single family res  Circa 1947,422150501,,4/24/2013,11/25/2013,2013,Final,11/26/2013,11/26/2013,11/26/2013,0,0,1,1,7709 MANCHACA RD,78745,5,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10939461,10939461,10936841,30.19424039,-97.81029543,"(30.19424039, -97.81029543)","Milestone Community Builders, LLC",5.12686E+12
2009-059718 BP,R- 645 Demolition One Family Homes,Demolition,No,4200 AQUA VERDE DR,Demolish a circa 1982 2 story 1624 square foot single family residence,133190122,LOT 5 BLK B AQUA VERDE,5/27/2009,7/23/2009,2009,Final,8/20/2009,8/20/2009,8/20/2009,"1,624",0,2,1,4200 AQUA VERDE DR,78746,10,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10291149,10291149,10285283,30.34359539,-97.81072068,"(30.34359539, -97.81072068)",Nalle Custom Homes Inc.,5129856825
2018-016684 BP,R- 645 Demolition One Family Homes,Demolition,No,3412 WERNER AVE,TOTAL DEMO OF HOME CIRCA 1941,215090516,LOT 29 BLK 5 OLT 29 DIV C UNIVERSITY PARK SUBD,12/29/2017,2/12/2018,2018,Final,4/18/2018,4/18/2018,4/18/2018,968,"7,850.00",1,1,3412 WERNER AVE,78722,9,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11864657,11864657,11844213,30.29155094,-97.71875516,"(30.29155094, -97.71875516)",David Whitworth Development Company,5122945139
2016-045685 BP,R- 645 Demolition One Family Homes,Demolition,No,5105 SAVOREY LN,Total demo of existing home  City of Austin buyout,430010139,LOT 4 BLK N SILVERSTONE PHS 1 SEC 1,4/20/2016,4/25/2016,2016,Expired,4/26/2018,4/25/2018,,"2,450","8,400.00",1,1,5105 SAVOREY LN,78744,2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11520385,11520385,11519354,30.17128459,-97.75444121,"(30.17128459, -97.75444121)",Building Abatement Demolition Co Inc,5127786069
2016-045690 BP,R- 645 Demolition One Family Homes,Demolition,No,5617 KATYDID LN,Total demo of existing home  City of Austin buyout,430000718,LOT 9 BLK L YARRABEE BEND SEC 4,4/20/2016,4/25/2016,2016,Expired,4/26/2018,4/25/2018,,"2,271","7,400.00",1,1,5617 KATYDID LN,78744,2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11520392,11520392,11519352,30.16751447,-97.75024028,"(30.16751447, -97.75024028)",Building Abatement Demolition Co Inc,5127786069
2016-045691 BP,R- 645 Demolition One Family Homes,Demolition,No,7403 LADYBUG ST,Total demo of existing home  City of Austin buyout,430000412,LOT 17 BLK F YARRABEE BEND SEC 1,4/20/2016,4/25/2016,2016,Expired,4/26/2018,4/25/2018,,"3,180","9,100.00",1,1,7403 LADYBUG ST,78744,2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11520395,11520395,11519351,30.17006863,-97.75033344,"(30.17006863, -97.75033344)",Building Abatement Demolition Co Inc,5127786069
2016-045693 BP,R- 645 Demolition One Family Homes,Demolition,No,7427 ONION CREEK DR,Total demo of existing home  City of Austin buyout,430000304,LOT 33 BLK G YARRABEE BEND SEC 1,4/20/2016,4/25/2016,2016,Expired,4/26/2018,4/25/2018,,"2,700","8,600.00",1,1,7427 ONION CREEK DR,78744,2,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11520397,11520397,11519349,30.16897614,-97.7501664,"(30.16897614, -97.7501664)",Building Abatement Demolition Co Inc,5127786069
