CalendarYearIssued,Description
2018,Partial demo 1story 880 sf addition to existing 1story SFR 62 sf addition to porch New living room and master suite included in addition Removing existing sunroom and bedroombathroom Interior remodel renovating existing detached garage to remain as parking facility
2018,Partial Demo to remove stone  wood siding Remodel to convert existing Master Bedroom into Office Master Bedroom   Addition to expand existing Master Bathroom and addition of a new Master Closet to rear of existing 1 story SF res
2018,PARTIAL DEMO Interior remodel new half bathroom and conversion of covered patio to conditioned space for kitchen addition
2018,Partial Demo Renovations to existing detached garage and greenhouse structure Detached structure to be used for storage and not to become conditioned space nor include an HVAC system
2018,Partial demo Converting existing covered patio into livable space Adding new covered patio to rear of existing 2story SFR in MM
2018,PARTIAL DEMOInterior remodel and 2 story addition to include accessory apartment per 252901 4 bed4baths
2018,Partial demolition of  an existing bulkhead and the construction of approximately 41 linear feet of new bulkhead and the construction of a beach area on a 73 acre site on lake Austin  Refer SP20170085D
2018,partial demo2 story addition and remodel to existing SFR no work to existing shed
2018,Partial demo  Interior remodel  Remove and install new living room ceiling  Remove entry wall and install new beam  Tub to shower conversion in master bath  MEP upgrades
2018,Interior remodel partial demo  New windows and doors  Wall reconfigurations  MEP upgrades
2018,Partial Demo Enclosing existing covered carport and laundry room 250sf at side yard of existing 1story SFR
2018,Partial Demo of portion of exterior walls in carport removal of siding in carport Addition to convert portion of Carport into Laundry Room Master Bathroom  and Master Closet addition to rear of a Master Bedroom to existing 1 story SF res
2018,Partial demo Addition to rear of existing 1story single family residential to include new master closet Interior remodel Driveway expansion and new sidewalk to be installed
2018,Partial demo Addition to rear of existing single family residential to include studio with storage and full bath and roof top deck with trellis
2018,Partial Demo of a 1939 SFR Interior remodel includes doors and windows replacements wall reconfiguration to change layout for kitchen dining master bedroom master bath and master closet improvements Upgrades include electrical plumbing and mechanical work
2018,Partial demo  Remove existing balcony and replace with new  Reset guard and handrails  New window and doors at rear porch  Electrical upgrades
2018,Partial demo Removing garage addition
2018,Partial Demo to remove door from bathroom to new screen room Remodel to remove tub add standup shower remove closet wall to add door to bedroom  Addition of a new attached Screenedin Porch in rear of existing 1 story SF res
2018,Partial demo and addition of second story with bathroom above garage
2018,Partial demo  Interior remodel  kitchen baths  window door
2018,Partial demo Addition and remodel of existing detached duplex front unit 1story 2 bedrooms 2 bathrooms
2018,Partial demo Addition and remodel of existing detached duplex rear unit 2story 3 bedrooms 25 bathrooms
2018,Partial demo Remove and rebuild rear patio trellis and balcony Addition of fire pit
2018,Partial demo addition over garage and a  total remodel in MMinstall new sheetrock and cabinets
2018,PARTIAL DEMO Garage conversion to habitable family room and storage room
2018,Partial Demo on window to become a door and one door to be moved over 9 Addition of an attached Screenedin Porch and Uncovered Wood Deck in rear of existing 1 story SF res
2018,Partial demo  Interior remodel  Kitchen bath  windows etc
2018,Partial Demo Remove existing detached carport and construct new studio space on existing slab with new concrete walkway Replace existing siding with new Electrical and mechanical work
2018,Partial Demo of back wall of house some interior walls  some existing roof Remodel to convert existing Living Rm into Dining Rm convert existing Bathrm into Living Rm convert existing Bedrm 3 into a Full Bathrm  Addition to add Powder Rm off of Entry Way Laundry Rm Kitchen Den Hallway Master Closet Master Bathroom  Master Bedroom in rear of existing 1 story SF res
2018,PARTIAL DEMO Addition remodel New master bedroom master bathroom laundry room and pantry Conversion of existing garage to guest room New detached garage
2018,Partial demo  Interior Remodel  Open walls  Install window  Remove fireplace
2018,Partial demo  Interior remodel  Garage door redo by removing brick wall  Wall changes to nonloadbearing  Interior trades
2018,Partial demo Removing 2story balcony Replacing with patio cover
2018,Expedited Review Addition of master bedroom suite powder room storage and pantry to existing singlefamily res Partial Demo
2018,Partial Demo Converting existing 264sf attached garage into living space within existing building footprint at SFR
2018,Partial Demo to remove back patio door for addition Addition to add a Foyer Game Room Master Walkin Closet Master Bathroom Master Bedroom  Covered Patio Veranda in rear of existing 1 story SF res
2018,Partial Demo Addition of an Uncovered Wood Deck wPergola in front and side AND residing of existing 1 story SF res
2018,Partial demo 1story 232sf addition to existing 1story SFR New 40sf uncovered concrete patio at rear addition Interior remodel at kitchen new kitchen bar area New carbon monoxidesmoke detectors Electric mechanical work
2018,Partial demo  Interior Remodel  Changing window in bedroom to a larger box window
2018,Partial demo  Interior remodel  Comprehensive remodel  Wall removal  Walls added  Bath changes  Windowdoor changes
2018,Expedited Review Interior remodel and addition to single family residencePartial Demo
2018,Partial demo of a 1981 SFR Interior remodel includes interior and exterior wall reconfiguration to add new double door and new window new layout to add master walking closet and laundry Upgrades include electrical plumbing and mechanical work
2018,PARTIAL DEMO Addition remodel Addition of new bedroom on first floor Remodel of downstairs bathroom
2018,Partial Demo Remove and rebuild approximately 300sf 11'x30' of patio cover at rear of existing 1story SFR Replace roofing for the entire structure Replacing windows size for size and same location replacing soffit and replacing gutters
2018,Partial demo Additionremodel Addition of front porch and 2nd story to existing single family residential Interior remodel of kitchen bathroom pantry and bedroom closet 2nd story addition to include new master suite loft office and balcony
